family,feature_count,target_variant,alpha,scheme,budget,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative_control,80,ridge_potential_success,10.0,leave_one_task,0.1,0.1,0.0078125,0.0053124999999999995,10,5,0.6332446808510638,0.12262519415431666,-0.05499999999999999,0.8999999999999998,0.203125
relative_control,80,ridge_potential_success,10.0,leave_one_task,0.2,0.2,0.009375,0.004375000000000001,18,12,0.6332446808510638,0.12262519415431666,-0.041249999999999995,0.8999999999999998,0.203125
relative_control,80,ridge_potential_success,10.0,leave_one_task,0.3,0.3,0.0125,0.005000000000000004,25,17,0.6332446808510638,0.12262519415431666,-0.06374999999999997,0.8999999999999998,0.203125
relative_control,80,direct_success,0.01,leave_one_level,0.1,0.1,-0.00625,-0.008749999999999997,6,10,0.39986702127659574,-0.08861382753135806,-0.053749999999999985,-0.8720815992723809,-0.1328125
relative_control,80,direct_success,0.01,leave_one_level,0.2,0.2,-0.0171875,-0.022187499999999992,13,24,0.39986702127659574,-0.08861382753135806,-0.20999999999999996,-0.8720815992723809,-0.1328125
relative_control,80,direct_success,0.01,leave_one_level,0.3,0.3,-0.021875,-0.02937499999999999,20,34,0.39986702127659574,-0.08861382753135806,-0.26374999999999993,-0.8720815992723809,-0.1328125
relative_control,80,direct_success,0.1,leave_one_level,0.1,0.1,-0.0046875,-0.007187499999999998,6,9,0.39574468085106385,-0.09261161980886727,-0.053749999999999985,-0.9999999999999999,-0.1328125
relative_control,80,direct_success,0.1,leave_one_level,0.2,0.2,-0.0171875,-0.022187499999999992,12,23,0.39574468085106385,-0.09261161980886727,-0.20999999999999996,-0.9999999999999999,-0.1328125
relative_control,80,direct_success,0.1,leave_one_level,0.3,0.3,-0.025,-0.032499999999999994,19,35,0.39574468085106385,-0.09261161980886727,-0.26374999999999993,-0.9999999999999999,-0.1328125
relative_control,80,direct_success,1.0,leave_one_level,0.1,0.1,0.0015625,-0.0009374999999999994,6,5,0.3884308510638298,-0.0947314558372702,-0.05249999999999999,-0.8720815992723809,-0.1484375
relative_control,80,direct_success,1.0,leave_one_level,0.2,0.2,-0.015625,-0.020624999999999998,12,22,0.3884308510638298,-0.0947314558372702,-0.20937499999999995,-0.8720815992723809,-0.1484375
relative_control,80,direct_success,1.0,leave_one_level,0.3,0.3,-0.0234375,-0.030937499999999996,16,31,0.3884308510638298,-0.0947314558372702,-0.2906249999999999,-0.8720815992723809,-0.1484375
relative_control,80,direct_success,10.0,leave_one_level,0.1,0.1,0.0,-0.0024999999999999988,5,5,0.3964095744680851,-0.09082688378030486,-0.05249999999999999,-0.6,-0.1875
relative_control,80,direct_success,10.0,leave_one_level,0.2,0.2,-0.01875,-0.02375,9,21,0.3964095744680851,-0.09082688378030486,-0.18499999999999997,-0.6,-0.1875
relative_control,80,direct_success,10.0,leave_one_level,0.3,0.3,-0.0265625,-0.034062499999999996,17,34,0.3964095744680851,-0.09082688378030486,-0.31562499999999993,-0.6,-0.1875
relative_control,80,direct_terminal_utility,0.01,leave_one_level,0.1,0.1,-0.0140625,-0.016562499999999997,5,14,0.37792553191489364,-0.11256978156407503,-0.11000000000000001,-0.6,-0.1484375
